wifi-hotspot,cit1,ubt-ICTC,CIT-2,CIT4,tu_ICT_center,cit_connect_2,x,y
-36,-66,-68,-83,-77,-83,-83,0,0
-49,-64,-76,-89,-68,-83,-76,3,0
-53,-59,-80,-76,-75,-88,-73,6,0
-56,-64,-81,-68,-80,-81,-82,9,0
-52,-57,-78,-77,-84,-85,-71,0,3
-62,-67,-83,-79,-78,-82,-77,3,3
-67,-61,-84,-71,-82,-80,-75,6,3
-61,-74,-69,-87,-73,-81,-83,9,3
-67,-70,-72,-90,-74,-81,-81,0,6
-60,-69,-71,-85,-68,-81,-68,3,6
-60,-74,-70,-79,-72,-77,-82,6,6
-63,-68,-68,-85,-79,-78,-77,9,6
-76,-80,-70,-91,-70,-85,-77,0,9
-66,-58,-76,-82,-80,-82,-82,3,9
-65,-58,-67,-71,-74,-80,-84,6,9
-70,-65,-67,-86,-71,-91,-78,9,9
-77,-68,-65,-77,-73,-89,-67,0,12
-78,-72,-65,-90,-78,-90,-84,3,12
-81,-74,-77,-81,-76,-92,-80,6,12
-71,-81,-63,-89,-62,-74,-88,9,12
-82,-68,-68,-89,-68,-84,-70,0,15
-76,-75,-73,-87,-70,-81,-91,3,15
-75,-71,-68,-85,-75,-88,-80,6,15
-72,-72,-62,-82,-72,-83,-81,9,15
-80,-76,-77,-93,-67,-83,-87,0,18
-85,-77,-70,-88,-79,-81,-84,3,18
-66,-70,-68,-68,-75,-86,-74,6,18
-67,-71,-71,-87,-74,-82,-88,9,18
-79,-72,-65,-87,-75,-69,-90,12,6
-77,-67,-62,-82,-70,-69,-75,15,6
-77,-64,-75,-81,-75,-66,-85,18,6
-79,-63,-70,-80,-71,-66,-73,21,6
-85,-65,-67,-82,-77,-69,-61,24,6
-76,-68,-66,-86,-72,-71,-86,12,3
-81,-68,-62,-81,-76,-78,-87,15,3
-84,-65,-66,-81,-76,-69,-77,18,3
-83,-62,-64,-79,-81,-60,-69,21,3
-88,-66,-71,-83,-74,-56,-87,24,3
-86,-74,-58,-88,-71,-75,-83,12,9
-80,-68,-59,-82,-64,-72,-76,12,12
-75,-65,-52,-85,-70,-79,-87,12,15
-74,-75,-52,-89,-83,-85,-86,12,18
-73,-73,-61,-76,-75,-68,-90,15,9
-87,-75,-61,-87,-69,-68,-83,18,9
-80,-69,-61,-84,-82,-80,-80,21,9
-77,-78,-55,-87,-70,-82,-89,15,12
-85,-68,-55,-81,-70,-78,-84,18,12
-77,-70,-54,-90,-90,-76,-79,15,15
-72,-73,-54,-87,-72,-83,-88,18,15
-78,-85,-73,-84,-74,-73,-78,15,18
